scoring_system,condition,n_sentences,added_tokens,irrelevant_text
Alvarado Score,matched,1,6,Family history included maternal osteoporosis.
Alvarado Score,2x,3,48,"Family history included maternal osteoporosis. The patient denied any historical allergic reactions to general anesthetics or local numbing agents, confirming that these common pharmacological compounds were well tolerated in the past. Maternal grandparents had a history of presbyopia."
Alvarado Score,4x,8,151,"Family history included maternal osteoporosis. The patient denied any historical allergic reactions to general anesthetics or local numbing agents, confirming that these common pharmacological compounds were well tolerated in the past. Maternal grandparents had a history of presbyopia. The patient had a documented history of adverse skin reactions to adhesive bandages, prompting the consistent use of hypoallergenic medical tape for any minor abrasions. According to the medical record, the patient took a daily glucosamine chondroitin supplement to support joint health without experiencing any notable side effects. Routine outpatient medications consisted of a daily oral biotin supplement for nail health and an over-the-counter fluoride mouthwash used every evening before bedtime. Paternal history included mild cataracts. The patient used artificial tears."
Apgar Score,matched,1,7,Family history included maternal osteoarthritis.
Apgar Score,2x,2,33,"Family history included maternal osteoarthritis. A review of the clinical record revealed a mild intolerance to codeine, while the family history noted uncomplicated glaucoma in the paternal grandmother."
Apgar Score,4x,4,76,"Family history included maternal osteoarthritis. A review of the clinical record revealed a mild intolerance to codeine, while the family history noted uncomplicated glaucoma in the paternal grandmother. The extended family history was notable for benign prostatic hyperplasia in the maternal grandfather, while the mother continued her usual regimen of over-the-counter probiotic capsules. The maternal grandmother suffered from chronic seasonal allergic rhinitis."
BISAP Score,matched,1,8,The patient was allergic to penicillin.
BISAP Score,2x,2,33,The patient was allergic to penicillin. The medication list was entirely limited to a daily biotin supplement taken each morning to promote healthy nail growth without any prescription pharmaceuticals.
BISAP Score,4x,5,110,"The patient was allergic to penicillin. The medication list was entirely limited to a daily biotin supplement taken each morning to promote healthy nail growth without any prescription pharmaceuticals. The medical record confirmed no additional drug sensitivities existed beyond the single antibiotic reaction. A thorough review verified the complete absence of any other regular therapies or herbal remedies, preserving the strictly non-prescription regimen. Additionally, the individual reported a family history of uncomplicated osteoarthritis on the maternal side, noting that all immediate relatives generally experienced unremarkable health throughout their adult lives without significant chronic conditions."
Bishop Score,matched,1,7,Her mother had mild seasonal allergies.
