item_id,scoring_system,condition,model,reasoning,raw_output,parsed_answer,determinable_case,correct,input_tokens,output_tokens,reasoning_tokens
IT002,Alvarado Score,baseline,Claude Opus 4.5,high,A,A,A,1,227.0,6078.0,6077.0
IT002,Alvarado Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,A,0,283.0,4936.0,4935.0
IT002,Alvarado Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,A,0,403.0,4660.0,4659.0
IT002,Alvarado Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,A,0,236.0,7987.0,7986.0
IT002,Alvarado Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,A,0,283.0,6141.0,6140.0
IT002,Alvarado Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,403.0,6050.0,6049.0
IT002,Alvarado Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,A,0,236.0,5764.0,5763.0
IT002,Alvarado Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,235.0,2088.0,2087.0
IT002,Alvarado Score,rel_to_und,Claude Opus 4.5,high,B,B,A,0,235.0,4183.0,4182.0
IT008,Alvarado Score,baseline,Claude Opus 4.5,high,B,B,B,1,205.0,5589.0,5588.0
IT008,Alvarado Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,B,0,261.0,5654.0,5653.0
IT008,Alvarado Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,B,0,381.0,6627.0,6626.0
IT008,Alvarado Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,B,0,214.0,6058.0,6057.0
IT008,Alvarado Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,261.0,6812.0,6811.0
IT008,Alvarado Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,381.0,6079.0,6078.0
IT008,Alvarado Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,214.0,4681.0,4680.0
IT008,Alvarado Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,211.0,958.0,957.0
IT008,Alvarado Score,rel_to_und,Claude Opus 4.5,high,B,B,B,1,214.0,7084.0,7083.0
IT010,Alvarado Score,baseline,Claude Opus 4.5,high,B,B,B,1,186.0,5022.0,5021.0
IT010,Alvarado Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,B,0,242.0,5662.0,5661.0
IT010,Alvarado Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,B,0,362.0,5223.0,5222.0
IT010,Alvarado Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,B,0,195.0,4819.0,4818.0
IT010,Alvarado Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,242.0,6358.0,6357.0
IT010,Alvarado Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,362.0,4217.0,4216.0
IT010,Alvarado Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,195.0,4525.0,4524.0
IT010,Alvarado Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,192.0,4510.0,4509.0
IT010,Alvarado Score,rel_to_und,Claude Opus 4.5,high,A,A,B,0,206.0,3554.0,3553.0
IT012,Alvarado Score,baseline,Claude Opus 4.5,high,B,B,A,0,241.0,1757.0,1756.0
IT012,Alvarado Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,A,0,297.0,2212.0,2211.0
IT012,Alvarado Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,A,0,417.0,3025.0,3024.0
IT012,Alvarado Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,A,0,250.0,1268.0,1267.0
IT012,Alvarado Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,A,0,297.0,1725.0,1724.0
IT012,Alvarado Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,A,0,417.0,4691.0,4690.0
IT012,Alvarado Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,A,0,250.0,1995.0,1994.0
IT012,Alvarado Score,rel_to_det,Claude Opus 4.5,high,B,B,A,0,249.0,1964.0,1963.0
IT012,Alvarado Score,rel_to_und,Claude Opus 4.5,high,B,B,A,0,249.0,1503.0,1502.0
IT013,Alvarado Score,baseline,Claude Opus 4.5,high,B,B,B,1,191.0,5609.0,5608.0
IT013,Alvarado Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,B,0,247.0,7813.0,7812.0
IT013,Alvarado Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,B,0,367.0,6685.0,6684.0
IT013,Alvarado Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,200.0,6587.0,6586.0
IT013,Alvarado Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,247.0,6362.0,6361.0
IT013,Alvarado Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,367.0,7659.0,7658.0
IT013,Alvarado Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,200.0,5250.0,5249.0
IT013,Alvarado Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,196.0,2759.0,2758.0
IT013,Alvarado Score,rel_to_und,Claude Opus 4.5,high,B,B,B,1,199.0,5902.0,5901.0
IT014,Alvarado Score,baseline,Claude Opus 4.5,high,B,B,A,0,217.0,5877.0,5876.0
IT014,Alvarado Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,A,0,273.0,4255.0,4254.0
IT014,Alvarado Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,A,0,393.0,5718.0,5717.0
IT014,Alvarado Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,A,0,226.0,7207.0,7206.0
IT014,Alvarado Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,A,0,273.0,6097.0,6096.0
IT014,Alvarado Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,A,0,393.0,6768.0,6767.0
IT014,Alvarado Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,A,0,226.0,7014.0,7013.0
IT014,Alvarado Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,225.0,6366.0,6365.0
IT014,Alvarado Score,rel_to_und,Claude Opus 4.5,high,B,B,A,0,223.0,7034.0,7033.0
IT018,Alvarado Score,baseline,Claude Opus 4.5,high,B,B,A,0,221.0,6514.0,6513.0
IT018,Alvarado Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,A,0,277.0,4875.0,4874.0
IT018,Alvarado Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,A,0,397.0,5394.0,5393.0
IT018,Alvarado Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,A,0,230.0,6318.0,6317.0
IT018,Alvarado Score,irr_to_und_2x,Claude Opus 4.5,high,A,A,A,1,277.0,6297.0,6296.0
IT018,Alvarado Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,A,0,397.0,5239.0,5238.0
IT018,Alvarado Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,A,0,230.0,6705.0,6704.0
IT018,Alvarado Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,227.0,6140.0,6139.0
IT018,Alvarado Score,rel_to_und,Claude Opus 4.5,high,B,B,A,0,229.0,2816.0,2815.0
IT021,Alvarado Score,baseline,Claude Opus 4.5,high,B,B,B,1,254.0,9266.0,9265.0
IT021,Alvarado Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,310.0,7892.0,7891.0
IT021,Alvarado Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,B,0,430.0,12223.0,12222.0
IT021,Alvarado Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,263.0,9036.0,9035.0
IT021,Alvarado Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,310.0,8202.0,8201.0
IT021,Alvarado Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,430.0,8669.0,8668.0
IT021,Alvarado Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,263.0,8164.0,8163.0
IT021,Alvarado Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,260.0,5224.0,5223.0
IT021,Alvarado Score,rel_to_und,Claude Opus 4.5,high,A,A,B,0,265.0,7960.0,7959.0
IT029,Apgar Score,baseline,Claude Opus 4.5,high,B,B,B,1,146.0,780.0,779.0
IT029,Apgar Score,irr_to_det_2x,Claude Opus 4.5,high,B,B,B,1,188.0,2546.0,2545.0
IT029,Apgar Score,irr_to_det_4x,Claude Opus 4.5,high,B,B,B,1,239.0,5024.0,5023.0
IT029,Apgar Score,irr_to_det_matched,Claude Opus 4.5,high,B,B,B,1,155.0,1246.0,1245.0
IT029,Apgar Score,irr_to_und_2x,Claude Opus 4.5,high,B,B,B,1,188.0,1032.0,1031.0
IT029,Apgar Score,irr_to_und_4x,Claude Opus 4.5,high,B,B,B,1,239.0,927.0,926.0
IT029,Apgar Score,irr_to_und_matched,Claude Opus 4.5,high,B,B,B,1,155.0,637.0,636.0
IT029,Apgar Score,rel_to_det,Claude Opus 4.5,high,B,B,B,1,156.0,918.0,917.0
IT029,Apgar Score,rel_to_und,Claude Opus 4.5,high,B,B,B,1,152.0,1207.0,1206.0
IT030,Apgar Score,baseline,Claude Opus 4.5,high,A,A,A,1,143.0,1389.0,1388.0
IT030,Apgar Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,A,1,185.0,4970.0,4969.0
IT030,Apgar Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,A,1,236.0,2537.0,2536.0
IT030,Apgar Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,A,1,152.0,3179.0,3178.0
IT030,Apgar Score,irr_to_und_2x,Claude Opus 4.5,high,A,A,A,1,185.0,3891.0,3890.0
IT030,Apgar Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,236.0,5038.0,5037.0
IT030,Apgar Score,irr_to_und_matched,Claude Opus 4.5,high,A,A,A,1,152.0,740.0,739.0
IT030,Apgar Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,149.0,1973.0,1972.0
IT030,Apgar Score,rel_to_und,Claude Opus 4.5,high,A,A,A,1,152.0,2961.0,2960.0
IT031,Apgar Score,baseline,Claude Opus 4.5,high,A,A,A,1,166.0,937.0,936.0
IT031,Apgar Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,A,1,208.0,1581.0,1580.0
IT031,Apgar Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,A,1,259.0,1598.0,1597.0
IT031,Apgar Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,A,1,175.0,1378.0,1377.0
IT031,Apgar Score,irr_to_und_2x,Claude Opus 4.5,high,A,A,A,1,208.0,3542.0,3541.0
IT031,Apgar Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,259.0,1639.0,1638.0
IT031,Apgar Score,irr_to_und_matched,Claude Opus 4.5,high,A,A,A,1,175.0,2589.0,2588.0
IT031,Apgar Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,170.0,2205.0,2204.0
IT031,Apgar Score,rel_to_und,Claude Opus 4.5,high,A,A,A,1,178.0,863.0,862.0
IT034,Apgar Score,baseline,Claude Opus 4.5,high,A,A,A,1,149.0,704.0,703.0
IT034,Apgar Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,A,1,191.0,1015.0,1014.0
IT034,Apgar Score,irr_to_det_4x,Claude Opus 4.5,high,A,A,A,1,242.0,3796.0,3795.0
IT034,Apgar Score,irr_to_det_matched,Claude Opus 4.5,high,A,A,A,1,158.0,1539.0,1538.0
IT034,Apgar Score,irr_to_und_2x,Claude Opus 4.5,high,A,A,A,1,191.0,986.0,985.0
IT034,Apgar Score,irr_to_und_4x,Claude Opus 4.5,high,A,A,A,1,242.0,2000.0,1999.0
IT034,Apgar Score,irr_to_und_matched,Claude Opus 4.5,high,A,A,A,1,158.0,974.0,973.0
IT034,Apgar Score,rel_to_det,Claude Opus 4.5,high,A,A,A,1,154.0,4347.0,4346.0
IT034,Apgar Score,rel_to_und,Claude Opus 4.5,high,A,A,A,1,158.0,1101.0,1100.0
IT035,Apgar Score,baseline,Claude Opus 4.5,high,A,A,A,1,164.0,1167.0,1166.0
IT035,Apgar Score,irr_to_det_2x,Claude Opus 4.5,high,A,A,A,1,206.0,3122.0,3121.0
